COMMAND     PID       USER   FD   TYPE DEVICE SIZE/OFF NLINK      NODE NAME
pipewire   2608 tarilka0gg   17u   REG    0,1     2312     0     10244 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
pipewire   2608 tarilka0gg   18u   REG    0,1     2312     0      8194 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
pipewire   2608 tarilka0gg   20u   REG    0,1     2312     0      8195 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
pipewire   2608 tarilka0gg   21u   REG    0,1     2312     0      9217 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
pipewire   2608 tarilka0gg   25u   REG    0,1     2312     0      9218 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
pipewire   2608 tarilka0gg   33u   REG    0,1    65664     0      6623 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=65664 (deleted)
pipewire   2608 tarilka0gg   34u   REG    0,1    65664     0      6624 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=65664 (deleted)
zen       33314 tarilka0gg   19u   REG    0,1    25216     0      1025 /memfd:wayland-cursor (deleted)
zen       33314 tarilka0gg   43r   REG    0,1   156120     0      3075 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg   51r   REG    0,1  1048576     0     11264 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg   52u   REG    0,1     3840     0      5120 /memfd:smithay-dmabuffeedback-format-table (deleted)
zen       33314 tarilka0gg   57r   REG    0,1  1048576     0      9221 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg   58r   REG    0,1  1048576     0      9222 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg   59r   REG    0,1  1048576     0      9223 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg   63r   REG    0,1      224     0     11265 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg   65r   REG    0,1   460800     0     11266 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg   66r   REG    0,1   296992     0     11267 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg   77r   REG    0,1     7418     0     11270 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg   79r   REG    0,1      226     0     11271 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg   80r   REG    0,1     6190     0     11272 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg   81r   REG    0,1     2172     0     11273 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg   82r   REG    0,1     2356     0     11274 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg   83r   REG    0,1    68240     0     11275 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg   84r   REG    0,1    24560     0     11276 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg   85r   REG    0,1      170     0     11277 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg   86r   REG    0,1     2748     0     11278 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg   87r   REG    0,1     1488     0     11279 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg   88r   REG    0,1    24584     0     11280 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg   92u   REG    0,1     3840     0      5120 /memfd:smithay-dmabuffeedback-format-table (deleted)
zen       33314 tarilka0gg  111u   REG    0,1     4096     0        12 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg  125r   REG    0,1    11822     0     11298 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg  165r   REG    0,1  1073224     0     11840 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg  170r   REG    0,1  1073224     0     11840 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg  190r   REG    0,1    14116     0     11339 /memfd:mozilla-ipc (deleted)
zen       33314 tarilka0gg  216u   REG    0,1 67108864     0      6173 /memfd:pulseaudio (deleted)
zen       33314 tarilka0gg  234u   REG    0,1   393216     0      4119 /memfd:cubeb-shm-33314-1 (deleted)
zen       33314 tarilka0gg  263u   REG    0,1 67108864     0      4297 /memfd:pulseaudio (deleted)
zen       33314 tarilka0gg  284u   REG    0,1   393216     0      3090 /memfd:cubeb-shm-33314-3 (deleted)
Socket    33406 tarilka0gg   22r   REG    0,1   296992     0     11267 /memfd:mozilla-ipc (deleted)
xdg-deskt 33441 tarilka0gg    9u   REG    0,1     3840     0      5120 /memfd:smithay-dmabuffeedback-format-table (deleted)
xdg-deskt 33468 tarilka0gg   11u   REG    0,1    25216     0      6148 /memfd:wayland-cursor (deleted)
